run_id,repeat,scenario,tenant,priority,objective,duration_s,trim_s,total,n_steady_ttft,low_n_use_p90,http_200,http_429,http_503,timeouts,errors,throughput_rps,ttft_p50_s,ttft_p90_s,ttft_p95_s,ttft_p99_s,latency_p50_s,latency_p90_s,latency_p95_s,latency_p99_s
01-test2_tiers_tuned-r01,1,test2_tiers_tuned,premium-tenant-a,100,gpt-oss-premium,300,40.0,1565,1381,False,1565,0,0,0,0,5.216666666666667,0.48861383693292737,1.0544768879190087,1.2294055200181901,1.5825043849181384,3.201580421999097,3.88505553198047,4.221482408000156,4.748788318131119
01-test2_tiers_tuned-r01,1,test2_tiers_tuned,premium-tenant-b,100,gpt-oss-premium,300,40.0,1549,1369,False,1549,0,0,0,0,5.163333333333333,0.5508725170511752,1.056483835913241,1.2034213070292026,1.6987352459691465,3.2276057950221,3.9194840111304075,4.187633811030537,4.657188185956329
01-test2_tiers_tuned-r01,1,test2_tiers_tuned,premium-tenant-c,100,gpt-oss-premium,300,40.0,1560,1358,False,1560,0,0,0,0,5.2,0.5000418210402131,1.0621685311198235,1.1897479188628495,2.043391498969868,3.2077083319891244,3.909525234019384,4.188407884910703,4.786673706956208
01-test2_tiers_tuned-r01,1,test2_tiers_tuned,standard-tenant-a,0,gpt-oss-standard,300,40.0,4448,4023,False,4448,0,0,0,0,14.826666666666666,0.7313326119910926,1.3597352341748774,1.4936418568249792,1.911047340137884,3.4155276289675385,4.137816023081541,4.453094475902617,5.019315553130582
01-test2_tiers_tuned-r01,1,test2_tiers_tuned,standard-tenant-b,0,gpt-oss-standard,300,40.0,3250,2833,False,3250,0,0,0,0,10.833333333333334,0.6963318660855293,1.3115757768973708,1.4862988058011979,1.9702234358992428,3.3583937562070787,4.104402526980266,4.3411174330394715,5.019066449953243
02-test2_tiers_tuned-r02,2,test2_tiers_tuned,premium-tenant-a,100,gpt-oss-premium,300,40.0,1736,1489,False,1736,0,0,0,0,5.786666666666667,0.3604718360584229,0.8970913221128285,1.0955229960381985,1.427405402995646,3.013714181026444,3.537183699896559,3.694094612961635,3.9978493719827384
02-test2_tiers_tuned-r02,2,test2_tiers_tuned,premium-tenant-b,100,gpt-oss-premium,300,40.0,1712,1470,False,1712,0,0,0,0,5.706666666666667,0.35188064398244023,0.9221279209014028,1.1097095080185682,1.3173734610900283,3.004857614869252,3.560547815170139,3.7051312641706318,3.977599208941683
02-test2_tiers_tuned-r02,2,test2_tiers_tuned,premium-tenant-c,100,gpt-oss-premium,300,40.0,1704,1461,False,1704,0,0,0,0,5.68,0.4274413948878646,0.9209912440273911,1.147647667909041,1.3859945351723582,3.056638494832441,3.542188754072413,3.698562969919294,3.980247118975967
02-test2_tiers_tuned-r02,2,test2_tiers_tuned,standard-tenant-a,0,gpt-oss-standard,300,40.0,4861,4310,False,4861,0,0,0,0,16.203333333333333,0.6247741361148655,1.2434140730183572,1.4069536230526865,1.6469392790459096,3.20074071502313,3.858922637067735,4.025563090806827,4.292888219933957
02-test2_tiers_tuned-r02,2,test2_tiers_tuned,standard-tenant-b,0,gpt-oss-standard,300,40.0,3556,3041,False,3556,0,0,0,0,11.853333333333333,0.5587354488670826,1.217666319804266,1.404564632102847,1.7928221100009978,3.1508443630300462,3.8091447888873518,3.9847704800777137,4.257139407098293
03-test2_tiers_tuned-r03,3,test2_tiers_tuned,premium-tenant-a,100,gpt-oss-premium,300,40.0,1790,1530,False,1790,0,0,0,0,5.966666666666667,0.32587596680969,0.8989530170802027,1.0351058570668101,1.3274123561568558,2.881305888062343,3.4547544638626277,3.611406144918874,3.891301420982927
03-test2_tiers_tuned-r03,3,test2_tiers_tuned,premium-tenant-b,100,gpt-oss-premium,300,40.0,1768,1519,False,1768,0,0,0,0,5.8933333333333335,0.33760463004000485,0.874984288122505,1.0549475869629532,1.3289762060157955,2.898028521798551,3.450058424845338,3.6102766529656947,3.8638376730959862
03-test2_tiers_tuned-r03,3,test2_tiers_tuned,premium-tenant-c,100,gpt-oss-premium,300,40.0,1757,1488,False,1757,0,0,0,0,5.8566666666666665,0.36629902687855065,0.919431412126869,1.080078565981239,1.2830322349909693,2.9195679859258235,3.4882563950959593,3.602733727078885,3.8852237181272358
03-test2_tiers_tuned-r03,3,test2_tiers_tuned,standard-tenant-a,0,gpt-oss-standard,300,40.0,5023,4454,False,5023,0,0,0,0,16.743333333333332,0.5771978958509862,1.1241744770668447,1.2635017160791904,1.5771928769536316,3.117173219099641,3.6798578759189695,3.8414114189799875,4.10207339306362
03-test2_tiers_tuned-r03,3,test2_tiers_tuned,standard-tenant-b,0,gpt-oss-standard,300,40.0,3690,3129,False,3690,0,0,0,0,12.3,0.5199239640496671,1.0821993579156697,1.2125702199991792,1.5357343631330878,3.014970175921917,3.6639396799728274,3.819065846968442,4.105298017151654
