run_id,repeat,scenario,tenant,priority,objective,duration_s,total,http_200,http_429,http_503,timeouts,errors,throughput_rps,ttft_p50_s,ttft_p95_s,ttft_p99_s,latency_p50_s,latency_p95_s,latency_p99_s
01-test1_single_endpoint_then_double-r01,1,test1_single_endpoint_then_double,premium-tenant-a,100,gpt-oss-premium,300,386,386,0,0,0,0,1.2866666666666666,0.07552884193137288,12.429522839956917,12.430331349023618,0.5809064189670607,13.035002448945306,13.039294879999943
01-test1_single_endpoint_then_double-r01,1,test1_single_endpoint_then_double,premium-tenant-b,100,gpt-oss-premium,300,152,152,0,0,0,0,0.5066666666666667,0.606683457037434,12.429562928969972,12.43015328689944,12.427371636033058,13.037709088996053,13.038168995990418
02-test1_single_endpoint_then_double-r02,2,test1_single_endpoint_then_double,premium-tenant-a,100,gpt-oss-premium,300,457,457,0,0,0,0,1.5233333333333334,0.05185120494570583,0.11422906699590385,0.11955860699526966,0.5207894629565999,12.481350489892066,12.491822976036929
02-test1_single_endpoint_then_double-r02,2,test1_single_endpoint_then_double,premium-tenant-b,100,gpt-oss-premium,300,192,192,0,0,0,0,0.64,0.060429470031522214,0.12486707104835659,0.12565149692818522,0.5412846640683711,12.483928495901637,12.491215456975624
03-test1_single_endpoint_then_double-r03,3,test1_single_endpoint_then_double,premium-tenant-a,100,gpt-oss-premium,300,457,457,0,0,0,0,1.5233333333333334,0.05046967789530754,0.11842352198436856,0.12887185800354928,0.5183118670247495,12.4827245749766,12.489009778015316
03-test1_single_endpoint_then_double-r03,3,test1_single_endpoint_then_double,premium-tenant-b,100,gpt-oss-premium,300,192,192,0,0,0,0,0.64,0.057963197003118694,0.1241914100246504,0.12888177309650928,0.5395351720508188,12.482466940069571,12.488504409091547
