run_id,repeat,scenario,tenant,priority,objective,duration_s,trim_s,total,n_steady_ttft,low_n_use_p90,http_200,http_429,http_503,timeouts,errors,throughput_rps,ttft_p50_s,ttft_p90_s,ttft_p95_s,ttft_p99_s,latency_p50_s,latency_p90_s,latency_p95_s,latency_p99_s
01-test2_priority_noisy-r01,1,test2_priority_noisy,premium-tenant-a,100,gpt-oss-premium,120,20.0,434,312,True,434,0,0,0,0,3.6166666666666667,0.14299151208251715,1.3935953420586884,1.533910980913788,1.8581101561430842,1.4791207988746464,3.614772651810199,3.8737773180473596,4.14871012698859
01-test2_priority_noisy-r01,1,test2_priority_noisy,premium-tenant-b,100,gpt-oss-premium,120,20.0,345,258,True,345,0,0,0,0,2.875,0.1643538731150329,1.45357510400936,1.648724511032924,2.0562554760836065,1.4970128810964525,3.7156081120483577,3.9667578528169543,4.350116762099788
01-test2_priority_noisy-r01,1,test2_priority_noisy,premium-tenant-c,100,gpt-oss-premium,120,20.0,338,271,True,338,0,0,0,0,2.816666666666667,0.1458749989978969,1.3836750909686089,1.592264155857265,2.0899316938593984,1.4799162938725203,3.564879114041105,3.9132728818804026,4.385180607903749
01-test2_priority_noisy-r01,1,test2_priority_noisy,standard-tenant-a,0,gpt-oss-standard,120,20.0,1803,1664,False,1803,0,0,0,0,15.025,0.6464603890199214,1.7003895658999681,2.0582883660681546,3.3827982540242374,2.9960053050890565,3.9322277589235455,4.374762723920867,5.686366077978164
01-test2_priority_noisy-r01,1,test2_priority_noisy,standard-tenant-b,0,gpt-oss-standard,120,20.0,1747,1639,False,1747,0,0,0,0,14.558333333333334,0.6748783488292247,1.7640113891102374,2.1061870239209384,3.045767914969474,3.025251207873225,4.0431526529137045,4.421129407826811,5.344785972032696
02-test2_priority_noisy-r02,2,test2_priority_noisy,premium-tenant-a,100,gpt-oss-premium,120,20.0,447,325,True,447,0,0,0,0,3.725,0.18987610703334212,1.6452949629165232,1.9226039689965546,2.118303783936426,1.4220959930680692,3.9715165628585964,4.146401034900919,4.42453164095059
02-test2_priority_noisy-r02,2,test2_priority_noisy,premium-tenant-b,100,gpt-oss-premium,120,20.0,355,268,True,355,0,0,0,0,2.9583333333333335,0.20472402591258287,1.6694457510020584,1.9139162888750434,2.1919916761107743,1.4306904380209744,3.9421538580209017,4.137375463964418,4.409852782031521
02-test2_priority_noisy-r02,2,test2_priority_noisy,premium-tenant-c,100,gpt-oss-premium,120,20.0,346,278,True,346,0,0,0,0,2.8833333333333333,0.18026409298181534,1.7825643480755389,2.014693123055622,2.5440747691318393,1.411616416880861,4.065395279088989,4.255053612170741,4.76961233606562
02-test2_priority_noisy-r02,2,test2_priority_noisy,standard-tenant-a,0,gpt-oss-standard,120,20.0,1836,1697,False,1836,0,0,0,0,15.3,0.5745809760410339,1.959828739054501,2.0673357869964093,2.564382320968434,2.7675110411364585,4.21743619418703,4.359025845071301,4.783166489098221
02-test2_priority_noisy-r02,2,test2_priority_noisy,standard-tenant-b,0,gpt-oss-standard,120,20.0,1822,1713,False,1822,0,0,0,0,15.183333333333334,0.5864187548868358,1.9635066259652376,2.0447584451176226,2.5710913429502398,2.790819382062182,4.2154445049818605,4.292084167944267,4.7479882701300085
03-test2_priority_noisy-r03,3,test2_priority_noisy,premium-tenant-a,100,gpt-oss-premium,120,20.0,442,320,True,442,0,0,0,0,3.683333333333333,0.16334415087476373,1.340427717892453,1.6951839269604534,1.9905103580094874,1.4303027680143714,3.648579997010529,3.9772673819679767,4.335894813993946
03-test2_priority_noisy-r03,3,test2_priority_noisy,premium-tenant-b,100,gpt-oss-premium,120,20.0,353,266,True,353,0,0,0,0,2.941666666666667,0.19165539206005633,1.6443272079341114,1.8204577548895031,2.038515673018992,1.434572571190074,3.890247049042955,4.1055440860800445,4.293740971013904
03-test2_priority_noisy-r03,3,test2_priority_noisy,premium-tenant-c,100,gpt-oss-premium,120,20.0,350,282,True,350,0,0,0,0,2.9166666666666665,0.19496992509812117,1.3271365789696574,1.7051843900699168,2.003498721169308,1.433319091098383,3.6333395729307085,3.966732054017484,4.284982074052095
03-test2_priority_noisy-r03,3,test2_priority_noisy,standard-tenant-a,0,gpt-oss-standard,120,20.0,1841,1702,False,1841,0,0,0,0,15.341666666666667,0.6101494920440018,1.807319327024743,1.9980531001929194,2.424294464988634,2.8772706028539687,4.052384770009667,4.24195083999075,5.04907450103201
03-test2_priority_noisy-r03,3,test2_priority_noisy,standard-tenant-b,0,gpt-oss-standard,120,20.0,1815,1706,False,1815,0,0,0,0,15.125,0.5536765591241419,1.8392409030348063,2.049802628811449,2.3507858549710363,2.766623297939077,4.249362086178735,4.324867055984214,4.956561659928411
