elapsed_s,inference_extension_flow_control_queue_bytes|batch-tenant-a,inference_extension_flow_control_queue_bytes|premium-tenant-a,inference_extension_flow_control_queue_bytes|premium-tenant-b,inference_extension_flow_control_queue_bytes|premium-tenant-c,inference_extension_flow_control_queue_bytes|standard-tenant-a,inference_extension_flow_control_queue_bytes|standard-tenant-b,inference_extension_flow_control_queue_size|batch-tenant-a,inference_extension_flow_control_queue_size|premium-tenant-a,inference_extension_flow_control_queue_size|premium-tenant-b,inference_extension_flow_control_queue_size|premium-tenant-c,inference_extension_flow_control_queue_size|standard-tenant-a,inference_extension_flow_control_queue_size|standard-tenant-b,run_id,scenario,vllm:num_requests_running,vllm:num_requests_waiting
29.006,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,30.0,0.0
30.047,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,30.0,0.0
31.082,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,23.0,0.0
32.118,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,25.0,0.0
33.154,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,26.0,0.0
34.195,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,26.0,0.0
35.234,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,28.0,0.0
36.269,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,25.0,0.0
37.305,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,31.0,0.0
38.338,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10-pressure_test4_priority_inversion_batch_surge-r01,pressure_test4_priority_inversion_batch_surge,33.0,0.0
