elapsed_s,tenant,target_concurrency,actual_inflight
38.424,premium-tenant-b,5,3
38.424,premium-tenant-c,5,4
38.424,standard-tenant-a,11,9
38.428,standard-tenant-b,6,5
39.438,premium-tenant-a,4,4
39.438,premium-tenant-b,5,6
39.438,premium-tenant-c,5,4
39.438,standard-tenant-a,10,11
39.438,standard-tenant-b,6,7
40.452,premium-tenant-a,5,5
40.452,premium-tenant-b,6,6
40.452,premium-tenant-c,4,3
40.452,standard-tenant-a,9,10
40.452,standard-tenant-b,6,6
41.462,premium-tenant-a,5,5
41.462,premium-tenant-b,6,6
41.462,premium-tenant-c,4,3
41.462,standard-tenant-a,8,9
41.462,standard-tenant-b,4,6
42.476,premium-tenant-a,4,5
42.476,premium-tenant-b,6,6
42.476,premium-tenant-c,4,3
42.476,standard-tenant-a,7,8
42.476,standard-tenant-b,6,5
43.489,premium-tenant-a,6,5
43.489,premium-tenant-b,6,7
43.489,premium-tenant-c,3,3
43.489,standard-tenant-a,7,7
43.489,standard-tenant-b,5,4
44.5,premium-tenant-a,5,4
44.5,premium-tenant-b,6,7
44.5,premium-tenant-c,3,4
44.5,standard-tenant-a,6,7
44.5,standard-tenant-b,5,4
45.512,premium-tenant-a,5,7
45.512,premium-tenant-b,7,7
45.512,premium-tenant-c,3,3
45.512,standard-tenant-a,6,6
45.512,standard-tenant-b,5,5
46.522,premium-tenant-a,6,6
46.523,premium-tenant-b,7,7
46.523,premium-tenant-c,3,4
46.523,standard-tenant-a,6,7
46.523,standard-tenant-b,5,6
47.535,premium-tenant-a,6,7
47.535,premium-tenant-b,7,7
47.535,premium-tenant-c,4,3
47.535,standard-tenant-a,6,5
47.535,standard-tenant-b,6,6
48.546,premium-tenant-a,7,6
48.546,premium-tenant-b,7,7
48.546,premium-tenant-c,4,2
48.547,standard-tenant-a,5,5
48.547,standard-tenant-b,6,6
49.557,premium-tenant-a,6,6
49.557,premium-tenant-b,7,8
49.557,premium-tenant-c,3,2
49.557,standard-tenant-a,5,5
49.557,standard-tenant-b,7,7
50.568,premium-tenant-a,6,7
50.568,premium-tenant-b,7,7
50.568,premium-tenant-c,3,4
50.568,standard-tenant-a,5,6
50.568,standard-tenant-b,7,7
51.582,premium-tenant-a,8,7
51.582,premium-tenant-b,7,7
51.582,premium-tenant-c,3,4
51.582,standard-tenant-a,5,5
51.582,standard-tenant-b,7,8
52.595,premium-tenant-a,7,4
52.595,premium-tenant-b,7,7
52.595,premium-tenant-c,4,4
52.595,standard-tenant-a,7,4
52.595,standard-tenant-b,8,7
53.604,premium-tenant-a,8,8
53.604,premium-tenant-b,7,7
53.604,premium-tenant-c,4,4
53.604,standard-tenant-a,7,6
53.604,standard-tenant-b,9,9
54.617,premium-tenant-a,8,8
54.617,premium-tenant-b,7,7
54.617,premium-tenant-c,4,4
54.617,standard-tenant-a,6,7
54.617,standard-tenant-b,9,10
55.628,premium-tenant-a,8,8
55.628,premium-tenant-b,7,7
55.628,premium-tenant-c,4,5
55.628,standard-tenant-a,7,6
55.628,standard-tenant-b,10,11
56.639,premium-tenant-a,8,8
56.639,premium-tenant-b,7,6
56.639,premium-tenant-c,5,5
56.639,standard-tenant-a,8,9
56.639,standard-tenant-b,10,10
57.65,premium-tenant-a,8,8
57.65,premium-tenant-b,7,7
57.65,premium-tenant-c,6,6
57.65,standard-tenant-a,8,9
57.65,standard-tenant-b,10,10
58.663,premium-tenant-a,8,9
58.663,premium-tenant-b,6,4
58.663,premium-tenant-c,5,6
58.663,standard-tenant-a,9,10
58.663,standard-tenant-b,11,11
59.676,premium-tenant-a,8,9
59.676,premium-tenant-b,5,6
59.676,premium-tenant-c,6,6
59.676,standard-tenant-a,10,10
59.676,standard-tenant-b,11,11
60.689,premium-tenant-a,8,8
60.69,premium-tenant-b,6,5
60.69,premium-tenant-c,6,5
60.69,standard-tenant-a,10,10
60.69,standard-tenant-b,11,11
61.703,premium-tenant-a,8,7
61.703,premium-tenant-b,6,5
61.703,premium-tenant-c,8,7
61.703,standard-tenant-a,12,10
61.703,standard-tenant-b,11,11
62.716,premium-tenant-a,8,8
62.716,premium-tenant-b,5,6
62.716,premium-tenant-c,7,6
62.716,standard-tenant-a,11,11
62.716,standard-tenant-b,11,11
63.728,premium-tenant-a,7,8
63.728,premium-tenant-b,5,5
63.728,premium-tenant-c,6,7
63.728,standard-tenant-a,12,11
63.728,standard-tenant-b,11,11
64.74,premium-tenant-a,8,8
64.74,premium-tenant-b,5,6
64.74,premium-tenant-c,7,7
64.74,standard-tenant-a,12,9
64.74,standard-tenant-b,10,11
65.75,premium-tenant-a,7,8
65.75,premium-tenant-b,5,5
65.75,premium-tenant-c,7,7
65.75,standard-tenant-a,11,11
65.75,standard-tenant-b,10,10
66.763,premium-tenant-a,7,7
66.763,premium-tenant-b,4,5
66.763,premium-tenant-c,7,7
66.763,standard-tenant-a,11,11
66.763,standard-tenant-b,9,10
67.776,premium-tenant-a,7,6
67.776,premium-tenant-b,4,3
67.776,premium-tenant-c,7,8
67.776,standard-tenant-a,10,9
67.776,standard-tenant-b,9,8
68.788,premium-tenant-a,7,6
68.788,premium-tenant-b,5,4
68.788,premium-tenant-c,7,5
68.788,standard-tenant-a,10,10
68.788,standard-tenant-b,8,8
69.798,premium-tenant-a,6,6
69.798,premium-tenant-b,3,3
69.798,premium-tenant-c,7,5
69.8,standard-tenant-a,9,10
69.8,standard-tenant-b,8,9
70.809,premium-tenant-a,6,6
70.809,premium-tenant-b,3,4
70.809,premium-tenant-c,7,8
70.811,standard-tenant-a,9,8
70.811,standard-tenant-b,8,7
71.82,premium-tenant-a,6,6
71.82,premium-tenant-b,3,3
71.82,premium-tenant-c,7,7
71.82,standard-tenant-a,8,8
71.822,standard-tenant-b,7,6
72.832,premium-tenant-a,6,6
72.832,premium-tenant-b,3,4
72.832,premium-tenant-c,7,7
72.832,standard-tenant-a,7,8
72.835,standard-tenant-b,6,6
73.844,premium-tenant-a,5,6
73.844,premium-tenant-b,3,4
73.844,premium-tenant-c,7,6
73.844,standard-tenant-a,8,7
73.846,standard-tenant-b,6,7
74.854,premium-tenant-a,5,5
74.854,premium-tenant-b,3,3
74.856,premium-tenant-c,7,5
74.856,standard-tenant-a,6,5
74.856,standard-tenant-b,5,5
75.865,premium-tenant-a,5,5
75.865,premium-tenant-b,2,3
75.868,premium-tenant-c,6,7
75.868,standard-tenant-a,87,87
75.872,standard-tenant-b,69,75
76.878,premium-tenant-a,4,5
76.879,premium-tenant-b,3,4
76.882,premium-tenant-c,6,6
76.882,standard-tenant-a,84,83
76.885,standard-tenant-b,67,66
77.888,premium-tenant-a,4,5
77.891,premium-tenant-b,3,4
77.893,premium-tenant-c,5,6
77.893,standard-tenant-a,88,89
77.897,standard-tenant-b,68,69
78.9,premium-tenant-a,4,4
78.901,premium-tenant-b,3,3
78.904,premium-tenant-c,5,5
78.904,standard-tenant-a,89,87
78.912,standard-tenant-b,67,58
79.912,premium-tenant-a,5,4
79.913,premium-tenant-b,3,3
79.915,premium-tenant-c,4,4
79.915,standard-tenant-a,82,87
79.923,standard-tenant-b,64,60
80.926,premium-tenant-a,4,5
80.926,premium-tenant-b,3,4
80.926,premium-tenant-c,4,5
80.929,standard-tenant-a,79,85
80.938,standard-tenant-b,55,63
81.943,premium-tenant-a,4,4
81.943,premium-tenant-b,3,5
81.943,premium-tenant-c,4,5
81.943,standard-tenant-a,89,89
81.948,standard-tenant-b,58,61
82.953,premium-tenant-a,4,4
82.955,premium-tenant-b,4,4
82.955,premium-tenant-c,5,4
82.955,standard-tenant-a,82,83
82.96,standard-tenant-b,59,58
83.965,premium-tenant-a,4,5
83.968,premium-tenant-b,4,4
83.968,premium-tenant-c,4,4
83.968,standard-tenant-a,82,89
83.973,standard-tenant-b,53,51
84.979,premium-tenant-a,4,5
84.979,premium-tenant-b,4,5
84.979,premium-tenant-c,3,4
84.981,standard-tenant-a,79,85
84.988,standard-tenant-b,64,59
85.989,premium-tenant-a,4,5
85.99,premium-tenant-b,4,4
85.992,premium-tenant-c,3,4
85.993,standard-tenant-a,68,82
86.002,standard-tenant-b,58,61
87.001,premium-tenant-a,4,6
87.001,premium-tenant-b,4,5
87.003,premium-tenant-c,3,3
87.006,standard-tenant-a,67,76
87.014,standard-tenant-b,57,61
88.015,premium-tenant-a,4,6
88.015,premium-tenant-b,5,5
88.015,premium-tenant-c,3,3
88.018,standard-tenant-a,70,68
88.027,standard-tenant-b,62,73
89.029,premium-tenant-a,5,6
89.029,premium-tenant-b,5,4
89.03,premium-tenant-c,3,4
89.03,standard-tenant-a,65,64
89.042,standard-tenant-b,64,55
90.045,premium-tenant-a,5,5
90.046,premium-tenant-b,5,6
90.046,premium-tenant-c,3,4
90.046,standard-tenant-a,70,61
90.055,standard-tenant-b,61,83
91.058,premium-tenant-a,5,6
91.058,premium-tenant-b,5,6
91.058,premium-tenant-c,3,3
91.06,standard-tenant-a,60,68
91.069,standard-tenant-b,64,66
92.073,premium-tenant-a,6,6
92.073,premium-tenant-b,6,6
92.073,premium-tenant-c,3,4
92.073,standard-tenant-a,60,35
92.083,standard-tenant-b,69,75
93.085,premium-tenant-a,6,6
93.085,premium-tenant-b,6,6
93.085,premium-tenant-c,5,4
93.086,standard-tenant-a,54,63
93.098,standard-tenant-b,65,73
94.099,premium-tenant-a,6,7
94.099,premium-tenant-b,6,6
94.099,premium-tenant-c,5,5
94.099,standard-tenant-a,59,60
94.112,standard-tenant-b,80,81
95.111,premium-tenant-a,6,6
95.111,premium-tenant-b,6,7
95.111,premium-tenant-c,4,5
95.111,standard-tenant-a,55,65
95.127,standard-tenant-b,79,80
96.125,premium-tenant-a,6,7
96.125,premium-tenant-b,7,6
96.125,premium-tenant-c,4,4
96.125,standard-tenant-a,53,62
96.138,standard-tenant-b,78,78
