run_id,repeat,scenario,tenant,priority,objective,duration_s,total,http_200,http_429,http_503,timeouts,errors,throughput_rps,ttft_p50_s,ttft_p95_s,ttft_p99_s,latency_p50_s,latency_p95_s,latency_p99_s
01-test2_priority_noisy-r01,1,test2_priority_noisy,premium-tenant-a,100,gpt-oss-premium,300,1473,1473,0,0,0,0,4.91,0.04190125991590321,0.6035753809846938,0.8479252479737625,1.0497712339274585,2.0412631960352883,2.2863479879451916
01-test2_priority_noisy-r01,1,test2_priority_noisy,premium-tenant-b,100,gpt-oss-premium,300,1190,1190,0,0,0,0,3.966666666666667,0.04213991900905967,0.6100266999565065,0.8944762640167028,1.0522296120179817,2.050279129995033,2.319406372960657
01-test2_priority_noisy-r01,1,test2_priority_noisy,premium-tenant-c,100,gpt-oss-premium,300,1212,1212,0,0,0,0,4.04,0.03914386895485222,0.5691673069959506,0.9484368379926309,1.0488705190364271,2.0219476351048797,2.37963647802826
01-test2_priority_noisy-r01,1,test2_priority_noisy,standard-tenant-a,0,gpt-oss-standard,300,7027,7027,0,0,0,0,23.423333333333332,0.359980131033808,0.9157192340353504,1.1304843269754201,1.8083127780118957,2.3566904730396345,2.567632244899869
01-test2_priority_noisy-r01,1,test2_priority_noisy,standard-tenant-b,0,gpt-oss-standard,300,6899,6899,0,0,0,0,22.996666666666666,0.37722280994057655,0.935104836942628,1.0797930660191923,1.8265643890481442,2.381000663037412,2.5239154269220307
02-test2_priority_noisy-r02,2,test2_priority_noisy,premium-tenant-a,100,gpt-oss-premium,300,1481,1481,0,0,0,0,4.9366666666666665,0.04002986894920468,0.5281698610633612,0.740615796064958,1.049655165988952,1.9752991660498083,2.1777683730470017
02-test2_priority_noisy-r02,2,test2_priority_noisy,premium-tenant-b,100,gpt-oss-premium,300,1192,1192,0,0,0,0,3.973333333333333,0.04118015500716865,0.5599347680108622,0.7572273500263691,1.055175764951855,2.0093699969584122,2.200983372051269
02-test2_priority_noisy-r02,2,test2_priority_noisy,premium-tenant-c,100,gpt-oss-premium,300,1206,1206,0,0,0,0,4.02,0.040629124036058784,0.5485124760307372,0.795165357994847,1.0497509689303115,1.9937109220772982,2.235967530985363
02-test2_priority_noisy-r02,2,test2_priority_noisy,standard-tenant-a,0,gpt-oss-standard,300,7021,7019,0,2,0,0,23.403333333333332,0.3838953060330823,0.8781755580566823,0.9966287979623303,1.8289083349518478,2.3267136909998953,2.43927185900975
02-test2_priority_noisy-r02,2,test2_priority_noisy,standard-tenant-b,0,gpt-oss-standard,300,6894,6894,0,0,0,0,22.98,0.3895678740227595,0.8757491440046579,1.0159617150202394,1.8327113419072703,2.325191725976765,2.4622913720086217
03-test2_priority_noisy-r03,3,test2_priority_noisy,premium-tenant-a,100,gpt-oss-premium,300,1480,1480,0,0,0,0,4.933333333333334,0.04161085793748498,0.5528256800025702,0.7739170040003955,1.0503828000510111,1.9967093899613246,2.2204254349926487
03-test2_priority_noisy-r03,3,test2_priority_noisy,premium-tenant-b,100,gpt-oss-premium,300,1196,1196,0,0,0,0,3.986666666666667,0.04161434597335756,0.5333141210721806,0.7831898460863158,1.0539761139079928,1.9767409830819815,2.230930292978883
03-test2_priority_noisy-r03,3,test2_priority_noisy,premium-tenant-c,100,gpt-oss-premium,300,1212,1212,0,0,0,0,4.04,0.039671167032793164,0.5463430540403351,0.7643802930833772,1.0505297230556607,1.9938165759667754,2.199564466951415
03-test2_priority_noisy-r03,3,test2_priority_noisy,standard-tenant-a,0,gpt-oss-standard,300,7025,7025,0,0,0,0,23.416666666666668,0.37738877499941736,0.8768113069236279,0.9933833469403908,1.8210371870081872,2.3247898309491575,2.433381141978316
03-test2_priority_noisy-r03,3,test2_priority_noisy,standard-tenant-b,0,gpt-oss-standard,300,6891,6891,0,0,0,0,22.97,0.38746023597195745,0.8855748169589788,1.0118443300016224,1.831506660906598,2.333345412975177,2.4584573870524764
