elapsed_s,inference_extension_flow_control_queue_bytes|premium-tenant-a,inference_extension_flow_control_queue_bytes|premium-tenant-b,inference_extension_flow_control_queue_bytes|standard-tenant-a,inference_extension_flow_control_queue_bytes|sweep-standard,inference_extension_flow_control_queue_bytes|warmup-standard,inference_extension_flow_control_queue_size|premium-tenant-a,inference_extension_flow_control_queue_size|premium-tenant-b,inference_extension_flow_control_queue_size|standard-tenant-a,inference_extension_flow_control_queue_size|sweep-standard,inference_extension_flow_control_queue_size|warmup-standard,run_id,scenario,vllm:num_requests_running,vllm:num_requests_waiting
38.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,15.0,0.0
39.226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,15.0,0.0
40.258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,15.0,0.0
41.288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,14.0,0.0
42.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,15.0,0.0
43.347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,14.0,0.0
44.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,6.0,0.0
45.412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,11.0,0.0
46.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,13.0,0.0
47.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,14.0,0.0
48.509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,14.0,0.0
49.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,14.0,0.0
50.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,14.0,0.0
51.604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,13.0,0.0
52.635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,13.0,0.0
53.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,12.0,0.0
54.693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,12.0,0.0
55.723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,11.0,0.0
56.757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,11.0,0.0
57.787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,11.0,0.0
58.818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,10.0,0.0
59.851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,11.0,0.0
60.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,11.0,0.0
61.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,10.0,0.0
62.937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,10.0,0.0
63.966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,9.0,0.0
64.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,9.0,0.0
66.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,8.0,0.0
67.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,6.0,0.0
68.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,7.0,0.0
69.121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,7.0,0.0
70.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,7.0,0.0
71.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,7.0,0.0
72.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,7.0,0.0
73.242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,8.0,0.0
74.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,5.0,0.0
75.301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,6.0,0.0
76.332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03-consolidation_three_phase-r03,consolidation_three_phase,6.0,0.0
