run_id,repeat,scenario,tenant,priority,objective,duration_s,trim_s,total,n_steady_ttft,low_n_use_p90,http_200,http_429,http_503,timeouts,errors,throughput_rps,ttft_p50_s,ttft_p90_s,ttft_p95_s,ttft_p99_s,latency_p50_s,latency_p90_s,latency_p95_s,latency_p99_s
01-test2_priority_noisy-r01,1,test2_priority_noisy,premium-tenant-a,100,gpt-oss-premium,120,20.0,182,135,True,182,0,0,0,0,1.5166666666666666,0.055194898042827845,0.11913039512000978,0.14810579805634916,0.18305900995619595,4.840486430097371,6.25908434111625,6.470303578069434,6.752583477878943
01-test2_priority_noisy-r01,1,test2_priority_noisy,premium-tenant-b,100,gpt-oss-premium,120,20.0,146,114,True,146,0,0,0,0,1.2166666666666666,0.05353299994021654,0.08518172800540924,0.10711154201999307,0.1844024220481515,4.63703977689147,6.3925920280162245,6.4308108820114285,6.671579798916355
01-test2_priority_noisy-r01,1,test2_priority_noisy,premium-tenant-c,100,gpt-oss-premium,120,20.0,148,120,True,148,0,0,0,0,1.2333333333333334,0.053077696822583675,0.10111644817516208,0.13649168703705072,0.3023913719225675,4.453671201132238,6.254403264960274,6.477628901833668,6.761707142926753
01-test2_priority_noisy-r01,1,test2_priority_noisy,standard-tenant-a,0,gpt-oss-standard,120,20.0,962,908,False,962,0,0,0,0,8.016666666666667,0.13881546398624778,0.28180990810506046,0.4618653270881623,0.6125967940315604,5.929390814853832,6.522836304968223,6.73251156299375,6.842425147071481
01-test2_priority_noisy-r01,1,test2_priority_noisy,standard-tenant-b,0,gpt-oss-standard,120,20.0,930,886,False,930,0,0,0,0,7.75,0.1294265950564295,0.31695182085968554,0.5685203450266272,0.6922864138614386,5.968463935190812,6.5075506020803005,6.683197004022077,6.878740299958736
02-test2_priority_noisy-r02,2,test2_priority_noisy,premium-tenant-a,100,gpt-oss-premium,120,20.0,182,135,True,182,0,0,0,0,1.5166666666666666,0.053953774040564895,0.10578836500644684,0.1383142399135977,0.20941423112526536,4.807955284835771,6.38845623889938,6.581205690046772,6.684067450929433
02-test2_priority_noisy-r02,2,test2_priority_noisy,premium-tenant-b,100,gpt-oss-premium,120,20.0,146,114,True,146,0,0,0,0,1.2166666666666666,0.05028434004634619,0.08633302222006023,0.09238858101889491,0.1921457031276077,4.697779675014317,6.317493508104235,6.511331890011206,6.634935412090272
02-test2_priority_noisy-r02,2,test2_priority_noisy,premium-tenant-c,100,gpt-oss-premium,120,20.0,151,123,True,151,0,0,0,0,1.2583333333333333,0.050543451914563775,0.09968672599643469,0.16327956900931895,0.5137678601313382,4.529056864790618,6.339163061929867,6.472220948897302,6.699952140916139
02-test2_priority_noisy-r02,2,test2_priority_noisy,standard-tenant-a,0,gpt-oss-standard,120,20.0,968,915,False,968,0,0,0,0,8.066666666666666,0.14775998890399933,0.2979374178685248,0.41663934104144573,0.6107897551264614,5.936379793798551,6.582283498952165,6.684661329025403,6.765491264872253
02-test2_priority_noisy-r02,2,test2_priority_noisy,standard-tenant-b,0,gpt-oss-standard,120,20.0,930,885,False,930,0,0,0,0,7.75,0.1410674259532243,0.3373617350589484,0.602925268933177,0.7280857239384204,5.972175383940339,6.592232300899923,6.671598069835454,6.805139875039458
03-test2_priority_noisy-r03,3,test2_priority_noisy,premium-tenant-a,100,gpt-oss-premium,120,20.0,182,136,True,182,0,0,0,0,1.5166666666666666,0.05593725387006998,0.09001055383123457,0.11527502886019647,0.15243838704191148,4.857476543867961,6.269027414033189,6.409787743119523,6.65895882807672
03-test2_priority_noisy-r03,3,test2_priority_noisy,premium-tenant-b,100,gpt-oss-premium,120,20.0,145,113,True,145,0,0,0,0,1.2083333333333333,0.05478915688581765,0.11802882910706103,0.1293290259782225,0.2093782010488212,5.098241519881412,6.42024359293282,7.0721625031437725,7.347118165111169
03-test2_priority_noisy-r03,3,test2_priority_noisy,premium-tenant-c,100,gpt-oss-premium,120,20.0,148,120,True,148,0,0,0,0,1.2333333333333334,0.05423924094066024,0.14552515908144414,0.192847111960873,1.0323426420800388,4.563470377121121,6.198198006954044,6.578576404834166,7.363478040089831
03-test2_priority_noisy-r03,3,test2_priority_noisy,standard-tenant-a,0,gpt-oss-standard,120,20.0,966,913,False,966,0,0,0,0,8.05,0.140625016996637,0.2618813330773264,0.4117941311560571,0.7021907318849117,5.982188005000353,6.509411528939381,6.9664174150675535,7.441103125922382
03-test2_priority_noisy-r03,3,test2_priority_noisy,standard-tenant-b,0,gpt-oss-standard,120,20.0,933,888,False,932,0,1,0,0,7.775,0.14166982099413872,0.4089820231311023,0.7340350809972733,1.0626427130773664,6.053342035971582,6.588067267090082,7.168384823016822,7.512261771131307
