scenario,scenario_label,repeat,run_id,source_dir,tenant,priority,objective,total,http_200,http_429,http_503,timeout,cancelled,other,throughput_rps,ttft_p95_s,latency_p95_s,queue_mean_ms,vllm_waiting_max,vllm_waiting_p95
pressure_test4_priority_inversion_batch_surge,Test 4. Priority inversion prevention,1,10-pressure_test4_priority_inversion_batch_surge-r01,clean-pass-20260721T1710Z/10-pressure_test4_priority_inversion_batch_surge-r01,batch-tenant-a,-10,gpt-oss-batch,10323,10323,0,0,0,0,0,34.41,0.9576782139483839,2.375711139990017,198.08071376237527,64.0,41.0
pressure_test4_priority_inversion_batch_surge,Test 4. Priority inversion prevention,1,10-pressure_test4_priority_inversion_batch_surge-r01,clean-pass-20260721T1710Z/10-pressure_test4_priority_inversion_batch_surge-r01,premium-tenant-a,100,gpt-oss-premium,3834,3834,0,0,0,0,0,12.78,0.6101405370282009,2.0202422799775377,62.447217735793856,64.0,41.0
pressure_test4_priority_inversion_batch_surge,Test 4. Priority inversion prevention,1,10-pressure_test4_priority_inversion_batch_surge-r01,clean-pass-20260721T1710Z/10-pressure_test4_priority_inversion_batch_surge-r01,standard-tenant-a,0,gpt-oss-standard,3802,3802,0,0,0,0,0,12.673333333333334,0.6651580549078062,2.076419216929935,65.96341341714859,64.0,41.0
pressure_test4_priority_inversion_batch_surge,Test 4. Priority inversion prevention,2,11-pressure_test4_priority_inversion_batch_surge-r02,clean-pass-20260721T1710Z/11-pressure_test4_priority_inversion_batch_surge-r02,batch-tenant-a,-10,gpt-oss-batch,10341,10339,0,2,0,0,0,34.47,0.9851385980146006,2.396492235013284,195.2800372944583,60.0,37.0
pressure_test4_priority_inversion_batch_surge,Test 4. Priority inversion prevention,2,11-pressure_test4_priority_inversion_batch_surge-r02,clean-pass-20260721T1710Z/11-pressure_test4_priority_inversion_batch_surge-r02,premium-tenant-a,100,gpt-oss-premium,3835,3835,0,0,0,0,0,12.783333333333333,0.6293947760714218,2.0431269329274073,67.57007652072822,60.0,37.0
pressure_test4_priority_inversion_batch_surge,Test 4. Priority inversion prevention,2,11-pressure_test4_priority_inversion_batch_surge-r02,clean-pass-20260721T1710Z/11-pressure_test4_priority_inversion_batch_surge-r02,standard-tenant-a,0,gpt-oss-standard,3791,3791,0,0,0,0,0,12.636666666666667,0.6849925559945405,2.0994894050527364,70.56368563466643,60.0,37.0
pressure_test4_priority_inversion_batch_surge,Test 4. Priority inversion prevention,3,01-pressure_test4_priority_inversion_batch_surge,clean-pass-20260721T-test4-r03-retry/01-pressure_test4_priority_inversion_batch_surge,batch-tenant-a,-10,gpt-oss-batch,10327,10327,0,0,0,0,0,34.42333333333333,0.9865051719825715,2.4030382140772417,211.16384000319871,57.0,43.0
pressure_test4_priority_inversion_batch_surge,Test 4. Priority inversion prevention,3,01-pressure_test4_priority_inversion_batch_surge,clean-pass-20260721T-test4-r03-retry/01-pressure_test4_priority_inversion_batch_surge,premium-tenant-a,100,gpt-oss-premium,3866,3866,0,0,0,0,0,12.886666666666667,0.5835044709965587,2.00155657005962,60.95181120254025,57.0,43.0
pressure_test4_priority_inversion_batch_surge,Test 4. Priority inversion prevention,3,01-pressure_test4_priority_inversion_batch_surge,clean-pass-20260721T-test4-r03-retry/01-pressure_test4_priority_inversion_batch_surge,standard-tenant-a,0,gpt-oss-standard,3835,3835,0,0,0,0,0,12.783333333333333,0.6292757489718497,2.0522577529773116,59.991531988263695,57.0,43.0
