run_id,scenario,tenant,priority,objective,duration_s,total,http_200,http_429,http_503,timeouts,errors,throughput_rps,ttft_p50_s,ttft_p95_s,ttft_p99_s,latency_p50_s,latency_p95_s,latency_p99_s
01-saturation_concurrency_8,saturation_concurrency_8,sweep-standard,0,gpt-oss-standard,20,72,72,0,0,0,0,3.6,1.0519970810273662,1.1579310619272292,1.1593297240324318,2.5815065930364653,2.68261335499119,2.684832155937329
02-saturation_concurrency_16,saturation_concurrency_16,sweep-standard,0,gpt-oss-standard,20,176,176,0,0,0,0,8.8,0.0664889250183478,0.21063388301990926,0.6753989279968664,1.8091522239847109,2.5514366859570146,2.6534018360543996
03-saturation_concurrency_24,saturation_concurrency_24,sweep-standard,0,gpt-oss-standard,20,240,240,0,0,0,0,12.0,0.08096102403942496,0.19622168003115803,0.2472347110742703,1.998896536999382,2.155098943039775,2.207980166072957
04-saturation_concurrency_32,saturation_concurrency_32,sweep-standard,0,gpt-oss-standard,20,320,320,0,0,0,0,16.0,0.08344758895691484,0.2772316880291328,0.3189797269878909,2.1216433270601556,2.311257645022124,2.3443286269903183
05-saturation_concurrency_48,saturation_concurrency_48,sweep-standard,0,gpt-oss-standard,20,432,432,0,0,0,0,21.6,0.10043152794241905,0.363721142988652,0.4291081130504608,2.3353785049403086,2.58844456798397,2.656602669041604
06-saturation_concurrency_64,saturation_concurrency_64,sweep-standard,0,gpt-oss-standard,20,512,512,0,0,0,0,25.6,0.0981966070830822,0.5578993839444593,0.6508455310249701,2.5468352930620313,3.0203850159887224,3.143656642991118
07-saturation_concurrency_96,saturation_concurrency_96,sweep-standard,0,gpt-oss-standard,20,672,672,0,0,0,0,33.6,0.15420764591544867,0.660130375996232,0.8253974540857598,3.0034551980206743,3.4976138999918476,3.6900855969870463
08-saturation_concurrency_128,saturation_concurrency_128,sweep-standard,0,gpt-oss-standard,20,770,770,0,0,0,0,38.5,0.18536939600016922,1.1840444359695539,1.2112607840681449,3.419974229997024,4.212788399076089,4.438642363063991
09-saturation_concurrency_160,saturation_concurrency_160,sweep-standard,0,gpt-oss-standard,20,800,779,0,0,0,0,40.0,0.46146634104661644,2.4065149360103533,3.558403656934388,3.7455760010052472,5.746210164041258,6.870133833959699
