elapsed_s,run_id,scenario,vllm:num_requests_running,vllm:num_requests_waiting
87.85,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,27.0
88.884,02-test2_priority_noisy-r02,test2_priority_noisy,116.0,0.0
89.954,02-test2_priority_noisy-r02,test2_priority_noisy,127.0,38.0
90.988,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,4.0
92.034,02-test2_priority_noisy-r02,test2_priority_noisy,110.0,0.0
93.079,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,6.0
94.13,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,14.0
95.181,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,15.0
96.233,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,23.0
97.29,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,7.0
98.328,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,8.0
99.377,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,25.0
100.426,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,31.0
101.476,02-test2_priority_noisy-r02,test2_priority_noisy,125.0,0.0
102.536,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,5.0
103.567,02-test2_priority_noisy-r02,test2_priority_noisy,126.0,13.0
104.6,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,31.0
105.639,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,30.0
106.689,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,16.0
107.737,02-test2_priority_noisy-r02,test2_priority_noisy,125.0,0.0
108.794,02-test2_priority_noisy-r02,test2_priority_noisy,116.0,3.0
109.859,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,1.0
110.923,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,39.0
111.964,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,14.0
113.001,02-test2_priority_noisy-r02,test2_priority_noisy,127.0,16.0
114.034,02-test2_priority_noisy-r02,test2_priority_noisy,116.0,0.0
115.097,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,29.0
116.127,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,7.0
117.167,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,6.0
118.205,02-test2_priority_noisy-r02,test2_priority_noisy,128.0,17.0
