run_id,repeat,scenario,tenant,priority,objective,duration_s,trim_s,total,n_steady_ttft,low_n_use_p90,http_200,http_429,http_503,timeouts,errors,throughput_rps,ttft_p50_s,ttft_p90_s,ttft_p95_s,ttft_p99_s,latency_p50_s,latency_p90_s,latency_p95_s,latency_p99_s
01-test2_priority_noisy-r01,1,test2_priority_noisy,premium-tenant-a,100,gpt-oss-premium,120,20.0,146,106,True,146,0,0,0,0,1.2166666666666666,0.16864188807085156,5.166378639871255,5.329499488929287,5.755169531097636,4.578885693103075,11.705358447041363,11.885922037996352,12.3019564000424
01-test2_priority_noisy-r01,1,test2_priority_noisy,premium-tenant-b,100,gpt-oss-premium,120,20.0,121,91,True,121,0,0,0,0,1.0083333333333333,0.2006656809244305,5.192960880929604,5.402177606942132,5.82146369991824,5.308314989088103,11.736507750116289,11.937292429851368,12.372977374820039
01-test2_priority_noisy-r01,1,test2_priority_noisy,premium-tenant-c,100,gpt-oss-premium,120,20.0,119,93,True,119,0,0,0,0,0.9916666666666667,0.18574096797965467,4.642138669034466,5.242767055053264,5.760531671112403,4.4963447148911655,11.156216175993904,11.790810476988554,12.2923131310381
01-test2_priority_noisy-r01,1,test2_priority_noisy,standard-tenant-a,0,gpt-oss-standard,120,20.0,685,638,False,685,0,0,0,0,5.708333333333333,1.443052273010835,5.298192518996075,6.27589184907265,6.441785263828933,8.04333319584839,11.815211249981076,12.827816110104322,13.017150409985334
01-test2_priority_noisy-r01,1,test2_priority_noisy,standard-tenant-b,0,gpt-oss-standard,120,20.0,664,625,False,664,0,0,0,0,5.533333333333333,1.7268059512134641,5.5196171819698066,6.339191047009081,6.8625830200035125,8.093511283164844,11.958904932020232,12.920393782900646,13.430384143954143
02-test2_priority_noisy-r02,2,test2_priority_noisy,premium-tenant-a,100,gpt-oss-premium,120,20.0,145,105,True,145,0,0,0,0,1.2083333333333333,0.16742428881116211,4.909910494927317,5.178148227976635,5.917000693036243,5.008721946040168,11.355369655881077,11.780731255887076,12.49004652001895
02-test2_priority_noisy-r02,2,test2_priority_noisy,premium-tenant-b,100,gpt-oss-premium,120,20.0,121,91,True,121,0,0,0,0,1.0083333333333333,0.2094334859866649,4.513346501160413,5.112712068948895,6.1531979099381715,5.492641509976238,11.024646229110658,11.677390462951735,12.710036543896422
02-test2_priority_noisy-r02,2,test2_priority_noisy,premium-tenant-c,100,gpt-oss-premium,120,20.0,117,91,True,117,0,0,0,0,0.975,0.16898344899527729,4.894185025012121,5.161071995971724,5.962476047920063,5.296744218096137,11.497907439945266,11.725332475965843,12.659324320964515
02-test2_priority_noisy-r02,2,test2_priority_noisy,standard-tenant-a,0,gpt-oss-standard,120,20.0,667,619,False,667,0,0,0,0,5.558333333333334,1.9505911250598729,5.486447701929137,6.434606122085825,7.088146926136687,8.579512926982716,12.012204600032419,13.068131173960865,13.724662874126807
02-test2_priority_noisy-r02,2,test2_priority_noisy,standard-tenant-b,0,gpt-oss-standard,120,20.0,680,641,False,680,0,0,0,0,5.666666666666667,1.702149559976533,5.171704230131581,6.332938653882593,6.686816497007385,8.315769518958405,11.635307942982763,12.921729038935155,13.282365801045671
03-test2_priority_noisy-r03,3,test2_priority_noisy,premium-tenant-a,100,gpt-oss-premium,120,20.0,146,106,True,146,0,0,0,0,1.2166666666666666,0.1980845588259399,5.0818237899802625,5.158576438203454,5.994103757897392,5.029977194964886,11.657467406941578,11.808835291070864,12.671846267068759
03-test2_priority_noisy-r03,3,test2_priority_noisy,premium-tenant-b,100,gpt-oss-premium,120,20.0,119,89,True,119,0,0,0,0,0.9916666666666667,0.21308171399869025,5.121331993956119,5.317574581131339,6.211398518877104,5.484091175021604,11.75560037093237,11.858541805064306,12.759019253076985
03-test2_priority_noisy-r03,3,test2_priority_noisy,premium-tenant-c,100,gpt-oss-premium,120,20.0,117,91,True,117,0,0,0,0,0.975,0.19835582887753844,5.10417105583474,5.3089088019914925,6.047635009046644,5.208449122030288,11.64396623778157,11.955018925946206,12.71924034692347
03-test2_priority_noisy-r03,3,test2_priority_noisy,standard-tenant-a,0,gpt-oss-standard,120,20.0,680,632,False,680,0,0,0,0,5.666666666666667,1.728497802047059,5.195369662949815,6.405426541808993,6.533162962878123,8.307833185885102,11.803705926984549,13.003853072877973,13.100402601994574
03-test2_priority_noisy-r03,3,test2_priority_noisy,standard-tenant-b,0,gpt-oss-standard,120,20.0,667,627,False,667,0,0,0,0,5.558333333333334,1.681879011914134,5.615142852067947,6.488241061102599,6.931221628095955,8.370760299963877,12.156059629982337,13.101448779925704,13.541570384986699
