elapsed_s,inference_extension_flow_control_queue_bytes|batch-tenant-a,inference_extension_flow_control_queue_bytes|premium-tenant-a,inference_extension_flow_control_queue_bytes|premium-tenant-b,inference_extension_flow_control_queue_bytes|premium-tenant-c,inference_extension_flow_control_queue_bytes|smoke,inference_extension_flow_control_queue_bytes|standard-tenant-a,inference_extension_flow_control_queue_bytes|standard-tenant-b,inference_extension_flow_control_queue_bytes|sweep-standard,inference_extension_flow_control_queue_bytes|warmup-standard,inference_extension_flow_control_queue_size|batch-tenant-a,inference_extension_flow_control_queue_size|premium-tenant-a,inference_extension_flow_control_queue_size|premium-tenant-b,inference_extension_flow_control_queue_size|premium-tenant-c,inference_extension_flow_control_queue_size|smoke,inference_extension_flow_control_queue_size|standard-tenant-a,inference_extension_flow_control_queue_size|standard-tenant-b,inference_extension_flow_control_queue_size|sweep-standard,inference_extension_flow_control_queue_size|warmup-standard,run_id,scenario,vllm:num_requests_running,vllm:num_requests_waiting
91.638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,124.0,13.0
92.666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,128.0,30.0
93.709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26881.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,124.0,3.0
94.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,128.0,23.0
95.769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,126.0,6.0
96.799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,128.0,27.0
97.854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,114.0,0.0
98.884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,128.0,11.0
99.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,113.0,0.0
100.965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161827.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,114.0,4.0
101.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,125.0,31.0
103.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,127.0,14.0
104.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,125.0,0.0
105.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,126.0,11.0
106.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,05-saturation_concurrency_160,saturation_concurrency_160,118.0,0.0
